z	x 		y 		azimuth 	dip 	src/rec(0/1)
287.5 625 0 0 0 1
300 625 0 0 0 1
312.5 625 0 0 0 1
325 625 0 0 0 1
337.5 625 0 0 0 1
350 625 0 0 0 1
362.5 625 0 0 0 1
375 625 0 0 0 1
387.5 625 0 0 0 1
400 625 0 0 0 1
412.5 625 0 0 0 1
425 625 0 0 0 1
437.5 625 0 0 0 1
450 625 0 0 0 1
462.5 625 0 0 0 1
475 625 0 0 0 1
487.5 625 0 0 0 1
500 625 0 0 0 1
512.5 625 0 0 0 1
525 625 0 0 0 1
537.5 625 0 0 0 1
550 625 0 0 0 1
562.5 625 0 0 0 1
575 625 0 0 0 1
587.5 625 0 0 0 1
600 625 0 0 0 1
612.5 625 0 0 0 1
625 625 0 0 0 1
76 125 0 0 0 0
75 75 0 0 0 1
75 87.5 0 0 0 1
75 100 0 0 0 1
75 112.5 0 0 0 1
75 125 0 0 0 1
75 137.5 0 0 0 1
75 150 0 0 0 1
75 162.5 0 0 0 1
75 175 0 0 0 1
75 187.5 0 0 0 1
75 200 0 0 0 1
75 212.5 0 0 0 1
75 225 0 0 0 1
75 237.5 0 0 0 1
75 250 0 0 0 1
75 262.5 0 0 0 1
75 275 0 0 0 1
75 287.5 0 0 0 1
75 300 0 0 0 1
75 312.5 0 0 0 1
75 325 0 0 0 1
75 337.5 0 0 0 1
75 350 0 0 0 1
75 362.5 0 0 0 1
75 375 0 0 0 1
75 387.5 0 0 0 1
75 400 0 0 0 1
75 412.5 0 0 0 1
75 425 0 0 0 1
75 437.5 0 0 0 1
75 450 0 0 0 1
75 462.5 0 0 0 1
75 475 0 0 0 1
75 487.5 0 0 0 1
75 500 0 0 0 1
75 512.5 0 0 0 1
75 525 0 0 0 1
75 537.5 0 0 0 1
75 550 0 0 0 1
75 562.5 0 0 0 1
75 575 0 0 0 1
75 587.5 0 0 0 1
75 600 0 0 0 1
75 612.5 0 0 0 1
75 625 0 0 0 1
75 75 0 0 0 1
87.5 75 0 0 0 1
100 75 0 0 0 1
112.5 75 0 0 0 1
125 75 0 0 0 1
137.5 75 0 0 0 1
150 75 0 0 0 1
162.5 75 0 0 0 1
175 75 0 0 0 1
187.5 75 0 0 0 1
200 75 0 0 0 1
212.5 75 0 0 0 1
225 75 0 0 0 1
237.5 75 0 0 0 1
250 75 0 0 0 1
262.5 75 0 0 0 1
275 75 0 0 0 1
287.5 75 0 0 0 1
300 75 0 0 0 1
312.5 75 0 0 0 1
325 75 0 0 0 1
337.5 75 0 0 0 1
350 75 0 0 0 1
362.5 75 0 0 0 1
375 75 0 0 0 1
387.5 75 0 0 0 1
400 75 0 0 0 1
412.5 75 0 0 0 1
425 75 0 0 0 1
437.5 75 0 0 0 1
450 75 0 0 0 1
462.5 75 0 0 0 1
475 75 0 0 0 1
487.5 75 0 0 0 1
500 75 0 0 0 1
512.5 75 0 0 0 1
525 75 0 0 0 1
537.5 75 0 0 0 1
550 75 0 0 0 1
562.5 75 0 0 0 1
575 75 0 0 0 1
587.5 75 0 0 0 1
600 75 0 0 0 1
612.5 75 0 0 0 1
625 75 0 0 0 1
75 625 0 0 0 1
87.5 625 0 0 0 1
100 625 0 0 0 1
112.5 625 0 0 0 1
125 625 0 0 0 1
137.5 625 0 0 0 1
150 625 0 0 0 1
162.5 625 0 0 0 1
175 625 0 0 0 1
187.5 625 0 0 0 1
200 625 0 0 0 1
212.5 625 0 0 0 1
225 625 0 0 0 1
237.5 625 0 0 0 1
250 625 0 0 0 1
262.5 625 0 0 0 1
275 625 0 0 0 1
287.5 625 0 0 0 1
300 625 0 0 0 1
312.5 625 0 0 0 1
325 625 0 0 0 1
337.5 625 0 0 0 1
350 625 0 0 0 1
362.5 625 0 0 0 1
375 625 0 0 0 1
387.5 625 0 0 0 1
400 625 0 0 0 1
412.5 625 0 0 0 1
425 625 0 0 0 1
437.5 625 0 0 0 1
450 625 0 0 0 1
462.5 625 0 0 0 1
475 625 0 0 0 1
487.5 625 0 0 0 1
500 625 0 0 0 1
512.5 625 0 0 0 1
525 625 0 0 0 1
537.5 625 0 0 0 1
550 625 0 0 0 1
562.5 625 0 0 0 1
575 625 0 0 0 1
587.5 625 0 0 0 1
600 625 0 0 0 1
612.5 625 0 0 0 1
625 625 0 0 0 1
76 150 0 0 0 0
75 75 0 0 0 1
75 87.5 0 0 0 1
75 100 0 0 0 1
75 112.5 0 0 0 1
75 125 0 0 0 1
75 137.5 0 0 0 1
75 150 0 0 0 1
75 162.5 0 0 0 1
75 175 0 0 0 1
75 187.5 0 0 0 1
75 200 0 0 0 1
75 212.5 0 0 0 1
75 225 0 0 0 1
75 237.5 0 0 0 1
75 250 0 0 0 1
75 262.5 0 0 0 1
75 275 0 0 0 1
75 287.5 0 0 0 1
75 300 0 0 0 1
75 312.5 0 0 0 1
75 325 0 0 0 1
75 337.5 0 0 0 1
75 350 0 0 0 1
75 362.5 0 0 0 1
75 375 0 0 0 1
75 387.5 0 0 0 1
75 400 0 0 0 1
75 412.5 0 0 0 1
75 425 0 0 0 1
75 437.5 0 0 0 1
75 450 0 0 0 1
75 462.5 0 0 0 1
75 475 0 0 0 1
75 487.5 0 0 0 1
75 500 0 0 0 1
75 512.5 0 0 0 1
75 525 0 0 0 1
75 537.5 0 0 0 1
75 550 0 0 0 1
75 562.5 0 0 0 1
75 575 0 0 0 1
75 587.5 0 0 0 1
75 600 0 0 0 1
75 612.5 0 0 0 1
75 625 0 0 0 1
75 75 0 0 0 1
87.5 75 0 0 0 1
100 75 0 0 0 1
112.5 75 0 0 0 1
125 75 0 0 0 1
137.5 75 0 0 0 1
150 75 0 0 0 1
162.5 75 0 0 0 1
175 75 0 0 0 1
187.5 75 0 0 0 1
200 75 0 0 0 1
212.5 75 0 0 0 1
225 75 0 0 0 1
237.5 75 0 0 0 1
250 75 0 0 0 1
262.5 75 0 0 0 1
275 75 0 0 0 1
287.5 75 0 0 0 1
300 75 0 0 0 1
312.5 75 0 0 0 1
325 75 0 0 0 1
337.5 75 0 0 0 1
350 75 0 0 0 1
362.5 75 0 0 0 1
375 75 0 0 0 1
387.5 75 0 0 0 1
400 75 0 0 0 1
412.5 75 0 0 0 1
425 75 0 0 0 1
437.5 75 0 0 0 1
450 75 0 0 0 1
462.5 75 0 0 0 1
475 75 0 0 0 1
487.5 75 0 0 0 1
500 75 0 0 0 1
512.5 75 0 0 0 1
525 75 0 0 0 1
537.5 75 0 0 0 1
550 75 0 0 0 1
562.5 75 0 0 0 1
575 75 0 0 0 1
587.5 75 0 0 0 1
600 75 0 0 0 1
612.5 75 0 0 0 1
625 75 0 0 0 1
75 625 0 0 0 1
87.5 625 0 0 0 1
100 625 0 0 0 1
112.5 625 0 0 0 1
125 625 0 0 0 1
137.5 625 0 0 0 1
150 625 0 0 0 1
162.5 625 0 0 0 1
175 625 0 0 0 1
187.5 625 0 0 0 1
200 625 0 0 0 1
212.5 625 0 0 0 1
225 625 0 0 0 1
237.5 625 0 0 0 1
250 625 0 0 0 1
262.5 625 0 0 0 1
275 625 0 0 0 1
287.5 625 0 0 0 1
300 625 0 0 0 1
312.5 625 0 0 0 1
325 625 0 0 0 1
337.5 625 0 0 0 1
350 625 0 0 0 1
362.5 625 0 0 0 1
375 625 0 0 0 1
387.5 625 0 0 0 1
400 625 0 0 0 1
412.5 625 0 0 0 1
425 625 0 0 0 1
437.5 625 0 0 0 1
450 625 0 0 0 1
462.5 625 0 0 0 1
475 625 0 0 0 1
487.5 625 0 0 0 1
500 625 0 0 0 1
512.5 625 0 0 0 1
525 625 0 0 0 1
537.5 625 0 0 0 1
550 625 0 0 0 1
562.5 625 0 0 0 1
575 625 0 0 0 1
587.5 625 0 0 0 1
600 625 0 0 0 1
612.5 625 0 0 0 1
625 625 0 0 0 1
76 175 0 0 0 0
75 75 0 0 0 1
75 87.5 0 0 0 1
75 100 0 0 0 1
75 112.5 0 0 0 1
75 125 0 0 0 1
75 137.5 0 0 0 1
75 150 0 0 0 1
75 162.5 0 0 0 1
75 175 0 0 0 1
75 187.5 0 0 0 1
75 200 0 0 0 1
75 212.5 0 0 0 1
75 225 0 0 0 1
75 237.5 0 0 0 1
75 250 0 0 0 1
75 262.5 0 0 0 1
75 275 0 0 0 1
75 287.5 0 0 0 1
75 300 0 0 0 1
75 312.5 0 0 0 1
75 325 0 0 0 1
75 337.5 0 0 0 1
75 350 0 0 0 1
75 362.5 0 0 0 1
75 375 0 0 0 1
75 387.5 0 0 0 1
75 400 0 0 0 1
75 412.5 0 0 0 1
75 425 0 0 0 1
75 437.5 0 0 0 1
75 450 0 0 0 1
75 462.5 0 0 0 1
75 475 0 0 0 1
75 487.5 0 0 0 1
75 500 0 0 0 1
75 512.5 0 0 0 1
75 525 0 0 0 1
75 537.5 0 0 0 1
75 550 0 0 0 1
75 562.5 0 0 0 1
75 575 0 0 0 1
75 587.5 0 0 0 1
75 600 0 0 0 1
75 612.5 0 0 0 1
75 625 0 0 0 1
75 75 0 0 0 1
